,11,13,15,17,21,23,25,27,31,33,35,37,41,43,45,47,51,53,55,57,61,63,65
66,,,,,,,,,w,,w,,w,,w,,,,,,,,
64,,,,,,y,,r,,y,,r,,y,,r,,y,,,,,
62,,,,,w,,w,,b,,w,,w,,b,,w,,w,,,,
60,,,,w,,w,,w,,w,,w,,w,,w,,w,,w,,,
56,,,w,,w,,w,,w,,w,,w,,w,,w,,w,,w,,
54,,y,,w,,y,,w,,y,,g,,y,,w,,y,,w,,y,
52,,,r,,w,,r,,w,,r,,w,,r,,w,,r,,w,,
50,,w,,w,,w,,g,,w,,w,,w,,g,,w,,w,,w,
46,w,,b,,w,,w,,b,,w,,w,,b,,w,,w,,b,,w
44,,y,,w,,y,,w,,y,,g,,y,,w,,y,,w,,y,
42,w,,w,,w,,r,,w,,r,,w,,r,,w,,r,,w,,w
40,,r,,w,,g,,w,,g,,w,,g,,w,,g,,w,,r,
36,w,,w,,w,,w,,w,,w,,w,,w,,w,,w,,w,,w
34,,y,,w,,y,,w,,y,,g,,y,,w,,y,,w,,y,
32,w,,b,,w,,w,,b,,w,,w,,b,,w,,w,,b,,w
30,,r,,w,,r,,g,,r,,w,,r,,g,,r,,w,,r,
26,,,w,,w,,w,,w,,w,,w,,w,,w,,w,,w,,w
24,,y,,w,,y,,w,,y,,g,,y,,w,,y,,w,,y,
22,,,w,,w,,w,,w,,w,,w,,w,,w,,w,,w,,
20,,,,w,,r,,w,,r,,w,,r,,w,,r,,w,,,
16,,,,,w,,w,,b,,w,,w,,b,,w,,w,,,,
14,,,,,,y,,w,,y,,w,,y,,w,,y,,,,,
12,,,,,,,,,w,,w,,w,,w,,w,,,,,,
