,11,13,15,17,21,23,25,27,31,33,35,37,41,43,45,47,51,53,55,57,61,63,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,67
66,,,,,,,,,g,,g,,g,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,,,,,,y,,r,,y,,r,,y,,r,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,,,,,g,,w,,b,,w,,w,,b,,w,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,,,,g,,g,,RE,,g,,g,,g,,RE,,g,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,,,g,,g,,g,,g,,g,,g,,g,,g,,g,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,,y,,w,,y,,g,,y,,gr,,y,,g,,y,,w,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,,,r,,g,,r,,g,,r,,g,,r,,g,,r,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,,g,,RE,,g,,gr,,g,,RE,,g,,gr,,g,,RE,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,w,,b,,w,,w,,b,,g,,w,,b,,w,,w,,b,,w,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,,y,,g,,y,,g,,y,,gr,,y,,g,,y,,g,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,g,,g,,g,,r,,g,,r,,g,,r,,g,,r,,g,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,,r,,g,,gr,,RE,,gr,,g,,gr,,RE,,gr,,g,,r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,g,,g,,g,,g,,g,,g,,g,,g,,g,,g,,g,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,,y,,g,,y,,g,,y,,gr,,y,,g,,y,,g,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,w,,b,,w,,w,,b,,g,,w,,b,,w,,w,,b,,w,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,,r,,RE,,r,,gr,,r,,RE,,r,,gr,,r,,RE,,r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,,,g,,g,,g,,g,,g,,g,,g,,g,,g,,g,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,,y,,g,,y,,g,,y,,gr,,y,,g,,y,,g,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,,g,,g,,g,,g,,g,,g,,g,,g,,g,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,,,g,,r,,RE,,r,,g,,r,,RE,,r,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,,,,g,,w,,b,,w,,w,,b,,w,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,,,,,y,,g,,y,,g,,y,,g,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,,,,,,,g,,g,,g,,g,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
